支払日,支払先,金額円,外貨額,内容,区分,家事按分,証憑ファイル名,メモ
2026-,Domain,,USD 11.51,pitafure.com ドメイン取得（1年）,開業費,100%,,★カード明細の円建て請求額を「金額円」に入れる
2026-,Anthropic,,USD 110.00,開発支援AIツール,開業費,?%,,★私用と兼用なら按分。根拠は按分メモへ
2026-,Supabase,0,,データベース・認証（無料枠）,開業費,100%,,無料枠のため支出なし
2026-,Cloudflare,0,,ホスティング（無料枠）,開業費,100%,,無料枠のため支出なし
,LawFirm,,,利用規約等の法務レビュー,開業費,100%,,発生していれば記入
,TaxOffice,,,税務相談,開業費,100%,,発生していれば記入
,,,,,,,,
,,,,,,,,"↓ 記入のしかた"
,,,,,,,,"支払日: 2026-06-15 の形式。8/1より前なら開業費、8/1以降は通常経費（この表に入れない）"
,,,,,,,,"金額円: 桁区切りも通貨記号も入れない（5500）。★外貨払いはカード明細の円建て請求額をそのまま入れる"
,,,,,,,,"外貨額: 外貨で払ったものだけ。USD 11.51 のように通貨コードを添える"
,,,,,,,,"支払先: 英数字とアンダースコアで統一（環境依存文字は化ける）"
,,,,,,,,"証憑ファイル名: 20260615_Anthropic_16500.pdf の形式"
